,Name,url,price,rating,nReviews,ASIN,Manufacturer,description
20,"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (GREY)  ",https://amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR/ref=sr_1_84?crid=2M096C61O4MLT&keywords=bags&qid=1685079942&sprefix=ba%2Caps%2C283&sr=8-84,₹512,3.9 out of 5 stars,573, B09WZKHSDR ,"Texcoco Enterprises, 9958166528, Texcoco Enterprises, 9958166528 ","[' ✔ PERFECT SIZE & STORAGE SPACE: One separate laptop compartment hold 15.6 Inch Laptop as well as 15 Inch,14 Inch and 13 Inch Laptop and Tablet. And spacious packing compartment roomy for daily necessities, iPad, charger, binders, books, clothes, stationary, college supplies, notebook, electronic accessories etc. Front pocket keep your wallet, phone, key, mobile etc. Mesh pockets at side for water bottle and compact umbrella make your items organized and easier to find.Ideal book bag backpack for high school boys perfectly.  ', ' ✔ COMFY & STURDY: Made from WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, relieve the stress of shoulder, simple but comfortable back design offer your great back support, making your working, journey and travelling more convenient wherever you go. you can use it such as office bag for men . office bag for women .  ', ' ✔ COMPACT AND EASY TO CARRY: Light-weight Carrying and perfect for business traveling or trip, weekend getaways, back to school, outdoor activities and college bag for men etc;  ', ' ✔ MULTIPURPOSE & SIZE: 20 x 12.2 x 5.7 Inch, perfect to throw under your seat on an airplane when you are traveling or on business trip. Suitable for back to school college, can be easily stored. Good choose for a business laptop backpack, work backpack, laptop bag for men and women, also will be a good gifts for women, gifts for men, gifts for boyfriend or girlfriend and gift bag for travelers.  ', ' ✔ MADE IN INDIA: Bennett Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks.The Bennett casual laptop backpack comes with 6 month warranty.  ']"
21,"DYAZO Water Resistant Camera Bag/Case Shoulder Strap Space for Photography Lens and Accessories Compatible for Nikon, Canon, Sony, Panasonic, Samsung & Other SLR/DSLR etc (Black & Silver)  ",https://amazon.in/Resistant-Photography-Accessories-Compatible-Panasonic/dp/B0BRJLWQ6R/ref=sr_1_103?crid=2M096C61O4MLT&keywords=bags&qid=1685079944&sprefix=ba%2Caps%2C283&sr=8-103,₹599,4.5 out of 5 stars,202, B0BRJLWQ6R ,"Dyazo, Dyazo F 15 Ground Floor Okhala phase 1 New Delhi 110020 customer care 7270000727 ","[' Dimension : External 26\'\' x 20\'\' x 15\'\' Cms. Internal Dimension 25"" x19 "" x 15 "" Fits 1 camera +1 spare lens + mobile phone + filter + SD card.  ', ' Multiple Accessory Pockets : to organize and keep memory cards, cables, lens caps, extra batteries, or other small accessories.  ', ' Detachable shoulder strap : adjustable and can also be worn cross-body. Made from durable fabric material, outfitted with a padded carry handle.  ', ' Fully Padded camera compartment : is with shock absorbent padding to protect your cameras and accessories.  ']"
22,Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty)  ,https://amazon.in/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK/ref=sr_1_104?crid=2M096C61O4MLT&keywords=bags&qid=1685079944&sprefix=ba%2Caps%2C283&sr=8-104,₹512,4.0 out of 5 stars,"5,741", B09CV24TMK ,"Texcoco Enterprices, 9958166528, ?Texcoco Enterprices, 9958166528 ","[' PREMIUM QUALITY MATERIAL: This laptop computer briefcase is made of high-quality water repellent fabric, and well-made of foam pad inside. The laptop briefcase equipped with a removable shoulder strap and a soft carry handle, you can easily switch the carry way you want.  ', ' LIGHTWEIGHT AND MULTIFUNCTIONAL: It provide a removable shoulder strap, can be use as shoulder bag or handbag base on your need; top handle strap, and comes with adjustable strap with. It will be a good partner for your daily use or business trip.  ', ' EXCELLENT DETAILS: The laptop bag with exquisite zippers, durable hook of strap and soft handle, which make it more comfortable to carry and use. Ensure a secure and long-lasting usage everyday as office work bag, travel laptop briefcase, business laptop case, college laptop bag.  ', ' DIMENSION: External: 16 x 12 x 3 inch; Dimension: 16.5 x 11.5 x 2.5 inch. Suitable for 14-15.6 inch: Dell, Acer, ASUS, Samsung, HP and other brand laptops.(Please allow a little size different because of manual measurement). Great gifts choice for birthday, work anniversary.  ', "" BENNETT Warranty: Exchange within (6 months) if you don't like. If any problems, please do not hesitate to contact us. We will provide the best solution for you.  ""]"
23,"Tabelito® Casual Laptop Bag 15.6inch (39.6 cm) , 25 LTR Office College School Bags Business Travel Backpack for Men Women Water Resistant Bags(BLACK)  ",https://amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P/ref=sr_1_106?crid=2M096C61O4MLT&keywords=bags&qid=1685079944&sprefix=ba%2Caps%2C283&sr=8-106,₹549,4.1 out of 5 stars,"1,733", B08Y5S6C2P ,"Tabelito Trade India, Tabelito Trade India, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala), Contact : +919958166528 ","[' PERFECT SIZE & STORAGE SPACE: This laptop backpack is the ideal size to store your 15.6-inch, 15-inch or 14-inch laptop as well as other items. Convenient main compartments for clothes, folders, and books, an iPad, and other items. Keep your phone and money in the pockets. School bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack  ', "" Front two slanted pockets on Tabelito laptop backpacks are ideal for quick items like your work ID, powerbank, phone charger and cables or wallet. Your belongings are organised with keys for an open door, two side pockets for a water bottle, and a small umbrella. It can be used as a backpack for males, a women's backpack or a school bag for girls. You can give it to males as a present. luggage for travel  "", "" COMFORTABLE & STURDY: Made of WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, reduce shoulder stress, basic but comfortable back design offers your wonderful back support, making your working, trip, and travelling more convenient wherever you go. You might use it as a men's office bag.  "", ' Light-weight carrying and ideal for weekend excursions, back-to-school, outdoor activities, and college bags for men, among other things;  ', ' Sized at 20 x 12.2 x 5.7 inches, this multipurpose bag is the ideal size to tuck under your seat while flying or on a business trip. Ideal for college back to school, conveniently storable. A excellent option for a work laptop bag, a business laptop bag, a laptop bag for men and women, as well as a gift bag for travellers, boyfriends, girlfriends, and men.  ']"
24,motherly Stylish Babies Diaper Bags for Mothers - Economical Version (Grey and Pink)  ,https://amazon.in/Motherly-Stylish-Babies-Diaper-Mothers/dp/B07DMKJJB4/ref=sr_1_117?crid=2M096C61O4MLT&keywords=bags&qid=1685079946&sprefix=ba%2Caps%2C283&sr=8-117,"₹1,784",4.6 out of 5 stars,"5,695", B07DMKJJB4 ,0 months and up ,"[' The bag measures: 39.5 cm x 26 cm x 20 cm, Weighs: 700 gm  ', ' Highlights: 1.13 well-sized pockets for accessible storage & organizing 2.Roomy main section 3.Three insulated milk bottle pockets (14 cm in length and 8.15 cm in width each) 4.Dry & wet sections for separating soiled clothes from dry ones 5.Anti-theft back pocket for the safety of your phone, notepads, tabs, etc. 5.Front & back openings for 2-way-reachability. 6.Key chain clip 7.D-rings for hands-free usability 8.A 5-cm wide cushioned back straps for irritation free 3-way carrying (adjustable)  ']"
25,Amazon Basics 20 ltrs Casual/Travel/College Backpack for 15.6-inch Laptop | Water Resistant Fabric  ,https://amazon.in/Amazon-Basics-Casual-Backpack-15-6-inch/dp/B09W4WJ1CB/ref=sr_1_127?crid=2M096C61O4MLT&keywords=bags&qid=1685079946&sprefix=ba%2Caps%2C283&sr=8-127,₹459,4.2 out of 5 stars,533, B09W4WJ1CB ,"Flab internatioanl private limited, FLAB INTERNATIONAL PRIVATE LIMITED PLOT NO. 357 E, PACE CITY-2, SEC-37, GURGAON - 122001 (HARYANA) INDIA 91- 9873326777 ","[' Ease off your shoulders with the AmazonBasics- Casual Backpack that helps carry laptops and other essentials comfortably  ', ' 1 large compartment for keeping a laptop  ', ' The compartment can also be used for carrying personal belongings, other digital devices, books, notepads, etc.  ', ' Easily accessible front pocket for storing smaller items like phones, business cards, etc.  ', ' Made from water-resistant polyester fabric  ', ' Comfortable cushioned shoulder straps  ', ' Padded compartment at the back to support laptop  ', ' Dimensions and Weight: 45 cm (L) X 32 cm (B) X 13 cm (H); 0.460 grams  ']"
26,Tabelito® Casual 15.6 Inch (39.6 cm) Water Repellent Laptop Backpack Office College School Business Travel Bag Suitable for Men Women Boys & Girls Capacity 25 Litre (Grey)  ,https://amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y3L4PHK/ref=sr_1_134?crid=2M096C61O4MLT&keywords=bags&qid=1685079948&sprefix=ba%2Caps%2C283&sr=8-134,₹549,4.1 out of 5 stars,"1,733", B08Y3L4PHK ,"Tabelito Trade India, Tabelito Trade India, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala), Contact : +919958166528 ","[' PERFECT SIZE & STORAGE SPACE: This laptop backpack is the ideal size to store your 15.6-inch, 15-inch or 14-inch laptop as well as other items. Convenient main compartments for clothes, folders, and books, an iPad, and other items. Keep your phone and money in the pockets. School bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack  ', "" Front two slanted pockets on Tabelito laptop backpacks are ideal for quick items like your work ID, powerbank, phone charger and cables or wallet. Your belongings are organised with keys for an open door, two side pockets for a water bottle, and a small umbrella. It can be used as a backpack for males, a women's backpack or a school bag for girls. You can give it to males as a present. luggage for travel  "", "" COMFORTABLE & STURDY: Made of WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, reduce shoulder stress, basic but comfortable back design offers your wonderful back support, making your working, trip, and travelling more convenient wherever you go. You might use it as a men's office bag.  "", ' Light-weight carrying and ideal for weekend excursions, back-to-school, outdoor activities, and college bags for men, among other things;  ', ' Sized at 20 x 12.2 x 5.7 inches, this multipurpose bag is the ideal size to tuck under your seat while flying or on a business trip. Ideal for college back to school, conveniently storable. A excellent option for a work laptop bag, a business laptop bag, a laptop bag for men and women, as well as a gift bag for travellers, boyfriends, girlfriends, and men.  ']"
27,motherly Diaper Bags for Mom Travel Basic Edition (Navy Blue)  ,https://amazon.in/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ/ref=sr_1_147?crid=2M096C61O4MLT&keywords=bags&qid=1685079948&sprefix=ba%2Caps%2C283&sr=8-147,"₹1,549",4.5 out of 5 stars,"2,480", B07PKQ3WJZ ,0 months and up ,"[' Capacity: 19 liters, Weight: 566gm<br> <br>  ', ' What’s new: Well-researched, upgraded fabric and hardware (zippers, rivets, gauge buttons) which is exclusively used to save you those extra bucks while maintaining the highest quality standards!! Light-weighted. Won’t add bulk and yet durable to sustain heavy weight.KEEP HOT WATER OR MILK WARM - Warm time of hot water or milk stored in the milk bottle pockets is 2 hours.<br> <br>  ', ' Pattern Name: Solid; Lining Description: Polyurethane; Age Range Description: Adult <br>  ']"
28,motherly Diaper Bags for Mom Travel Basic Edition (Navy Blue)  ,https://amazon.in/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ/ref=sr_1_150?crid=2M096C61O4MLT&keywords=bags&qid=1685079950&sprefix=ba%2Caps%2C283&sr=8-150,"₹1,549",4.5 out of 5 stars,"2,480", B07PKQ3WJZ ,0 months and up ,"[' Capacity: 19 liters, Weight: 566gm<br> <br>  ', ' What’s new: Well-researched, upgraded fabric and hardware (zippers, rivets, gauge buttons) which is exclusively used to save you those extra bucks while maintaining the highest quality standards!! Light-weighted. Won’t add bulk and yet durable to sustain heavy weight.KEEP HOT WATER OR MILK WARM - Warm time of hot water or milk stored in the milk bottle pockets is 2 hours.<br> <br>  ', ' Pattern Name: Solid; Lining Description: Polyurethane; Age Range Description: Adult <br>  ']"
29,FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Light Grey Oxford Fabric)  ,https://amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LFX8ZZ/ref=sr_1_160?crid=2M096C61O4MLT&keywords=bags&qid=1685079950&sprefix=ba%2Caps%2C283&sr=8-160,"₹1,499",4.4 out of 5 stars,"1,912", B084LFX8ZZ ,"Fatmug Designs, Delhi ","[' PRACTICAL AND ELEGANT:Made with Oxford Fabric, a stylish laptop bag for daily travel and short trips<br>; Age Range Description: Adult; Special Features: Laptop Compartment; Pocket Description: Utility Pocket; Style Name: Travel Backpacks<br><br>  ', ' Style Name: Travel Backpacks; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult<br>  ', ' Compartment Description: Greater Than 17 Inches; Water Resistance Level: Water Resistant<br>  ']"
30,"Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop Office Travel Bag for Men and Women Gifts, Dark Grey  ",https://amazon.in/Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ/ref=sr_1_164?crid=2M096C61O4MLT&keywords=bags&qid=1685079952&sprefix=ba%2Caps%2C283&sr=8-164,"₹1,946",4.4 out of 5 stars,"3,365", B08HM4TQZZ ,"ah arctic hunter, Hoteon Trading Pvt. Ltd., #191, BOOHBCS (BANK COLONY),BTM 2nd Stage, Bangalore-560068. Phone 9148183707 or customercare@hoteon.com ","[' [Built in Rain Cover]-- Matching water-resistant rain cover included, with a strap to attach it to your backpack, so that you can use this bag in any season and all weather conditions, making it a great choice for outdoor use.  ', ' [SAFETY & FREE YOUR HAND]-- This antitheft business travel laptop backpack comes with a Locker so you never have to worry about someone stealing your laptop, ipad,file and other valueablesPlease reset the password of the backpack and remember the new password.if you forget the password,Please contact us by sending internal information on Amazon.LUGGAGE STRAP allows backpack to fit on luggage/suitcase. Durable metal zippers close and open smoothly, ensuring a long-lasting usage everyday  ', ' [MULTI-FUNCTION]-- No need to worry about your phone battery running out with the useful USB port and charging cable, (power bank not included). There is also a headphone jack so you can listen to your favourite music on the go  ', ' [COMFORTABLE]-- Ideal for work, high school, college, university, travelling, hiking, cycling or camping with its back padding made of breathable mesh and foam to keep you cool, and lining on the shoulder straps to prevent backaches and cutting into your shoulders  ', ' [Multi-Level Organizer]-- The backpack has a front zipper pocket for the ID card, Sanitizer,masks, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. 2 Year Warranty aganist manufracturing defects caused by workmanship. 2 year warranty DOES NOT cover natural wear or tear and damage due to mishandling.  ']"
31,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)  ",https://amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/ref=sr_1_175?crid=2M096C61O4MLT&keywords=bags&qid=1685079952&sprefix=ba%2Caps%2C283&sr=8-175,₹369,4.1 out of 5 stars,"8,997", B088XG77KN ,"Korrun India Pvt. Ltd, Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka ","[' Made of multi-coated 600D polyester Material ; Water Repellent  ', ' Dimension: 38cm x 26cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters  ', ' Small Size backpack; Laptop Compatibility: No  ', ' This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more  ', ' With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books  ', ' 6 months limited warranty  ']"
32,"Bennett 15.6 inch Laptop Bag Men/Women, 25 L Water Resistant School/College Backpack with Padded Laptop Compartment for Apple/Dell/Lenovo/Asus/Hp/Mi/MacBook/Ultrabook/Thinkpad/Ideapad (Blue)  ",https://amazon.in/Bennett-15-6-inch-Repellent-Backpack-ben_cas_blue/dp/B09WZKB54G/ref=sr_1_178?crid=2M096C61O4MLT&keywords=bags&qid=1685079952&sprefix=ba%2Caps%2C283&sr=8-178,₹512,3.9 out of 5 stars,573, B09WZKB54G ,"Texcoco Enterprises, 9958166528, Texcoco Enterprises, 9958166528 ","[' PERFECT SIZE & STORAGE SPACE: Laptop backpack with perfect size to hold things and your 15.6 inch laptop or 15 inch, 14 inch Laptop. Convenient main pockets for iPad, charger, binders, books, clothes, ect. Inside pockets keep your wallet, phone. school bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack .  ', ' COMPREHENSIVE WORKSPACE: Front two slanted pocket perfect for quick finds such as your ID for work, f gear laptop bags . keys for open door, two side pockets for water bottle and compact umbrella make your items organized. it can be use as school college bags for girls / backpack for men /backpacks for women . you can use it as a gift for men . bags for travelling  ', ' COMFY & STURDY: Made from WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, relieve the stress of shoulder, simple but comfortable back design offer your great back support, making your working, journey and travelling more convenient wherever you go. you can use it such as office bag for men . office bag for women .  ', ' EFFORTLESS CARRYING: This lightweight backpack is the perfect travel companion for carrying a laptop, books, and accessories when visiting the airport, going to the school, college office, exploring a new city, or using it as a laptop bag.  ', ' MULTIPURPOSE & SIZE: 20 x 12.2 x 5.7 Inch, perfect to throw under your seat on an airplane when you are traveling or on business trip. Suitable for back to school college, can be easily stored. Good choose for a business laptop backpack, work backpack, laptop bag for men and women, also will be a good gifts for women, gifts for men, gifts for boyfriend or girlfriend and gift bag for travelers.  ', ' Strap type: Shoulder Strap  ', ' Water Resistance Level: water_resistant  ']"
33,Contacts 15 inch Everyday Laptop Versatile Backpack with USB Charging Port | Multi functional Bagpack (Grey)…  ,https://amazon.in/CONTACTS-Backpack-Lighweight-Versatile-Charging/dp/B085WPWY1W/ref=sr_1_180?crid=2M096C61O4MLT&keywords=bags&qid=1685079954&sprefix=ba%2Caps%2C283&sr=8-180,₹999,3.8 out of 5 stars,"1,097", B085WPWY1W ,"RECREATE ENGINEERING PRODUCTS PVT LTD., 83A, CHOWRINGHEE ROAD, KOLKATA - 700020., MOB - 90739 08504, RECREATE ENGINEERING PRODUCTS PVT LTD., 83A, CHOWRINGHEE ROAD, KOLKATA - 700020., MOB - 90739 08504, EMAIL-RECREATEENGINEERING2017@GMAIL.COM ","[' Structure: The whole backpack is closed with two magnetic buckles, and the main pocket with laptop compartment inside is double zippers closure, the large capacity of the backpack allows for your many stuff. Two side pockets are designed for your bottle. One front zippered pocket with a smaller one are convenient to get your daily personal things;Durable Fabric: Made of 600D Nylon Fabric, CONTACTS Backpack is lightweight, scratch-resistant, splash proof.<br> <br>  ', ' Special Functions: With external USB charging port & set-in charging cable, CONTACTS Backpack offer a convenient way for you to charge your electronic device when walking<br>; Multi Function: This backpack is perfect to be a day pack. Perfect for going to school, work, weekend get-away, biking, camping, gym, travel, etc; Multiple Compartments: Total 6 compartments to save your belongs well. Backpack strap is well-padded and adjustable to fit your body. Comfort on your back<br> <br>  ', ' Disclaimer: All our products are made from fine materials. Due to the lighting on the photography there may be slight variations in color and texture between pictures & actual product<br> <br>  ', ' Warranty Description: 1 Year Manufacturer Warranty Is Non-Transferable And Valid For 1 Year From The Original Date Of Pur; Material Type: Canvas; Water Resistance Level: Water Resistant; Compartment Description: Up To 15 Inches; Age Range Description: Kid; Special Features: Back Padding<br> <br>  ', ' Warranty Description: 1 Year Manufacturer Warranty Is Non-Transferable And Valid For 1 Year From The Original Date Of Purchase.; Pattern Name: Solid <br>  ']"
34,Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey)  ,https://amazon.in/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK/ref=sr_1_183?crid=2M096C61O4MLT&keywords=bags&qid=1685079954&sprefix=ba%2Caps%2C283&sr=8-183,,4.2 out of 5 stars,"1,624", B0895ZZHKK ,"ASUS, Shanghai Korrun Bag & Luggage Production Co. , Lt d ","[' Meant for 15.6-inch laptops  ', ' Multiple compartments for additional accessories  ', ' Front big pocket for quick-access your essentials  ', ' Elegant and Lightweight Cross-dyed woven fabric  ', ' Finished in Stylish warm dark grey and stretch to shoulder strap  ', ' Laptop compartment fits up to 15.6 inch laptop with velcro laptop strip  ', ' ASUS reflective logo  ', ' 1 Year hardware warranty provided by the manufacturer from date of purchase  ']"
35,HEROZ Hacker 50 litres Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- ALL) (Navy Blue)  ,https://amazon.in/HEROZ-Backpack-Resistant-Computer-17-3-inch/dp/B083N3DCTM/ref=sr_1_196?crid=2M096C61O4MLT&keywords=bags&qid=1685079956&sprefix=ba%2Caps%2C283&sr=8-196,"₹1,599",4.2 out of 5 stars,"3,797", B083N3DCTM ,A. H. Creation ,"[' Material: Nylon, Inner Material: Polyester, Capacity: 50 Liters, Color: Grey & Navy Blue, Special Features: Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap<br> <br>  ', ' Age Range Description: Adult; Style Name: Country; Pattern Name: Solid; Strap Type: Cross-Body; Closure Type: Zipper; Pocket Description: Utility Pocket <br>  ']"
36,"The Deal Men's 15.6 Inch Polyester Casual Laptop Backpack, Travel Computer Bag Water Resistant College Work School Bag (Blue)  ",https://amazon.in/Deal-Polyester-Backpack-Computer-Resistant/dp/B08RC39B71/ref=sr_1_200?crid=2M096C61O4MLT&keywords=bags&qid=1685079956&sprefix=ba%2Caps%2C283&sr=8-200,₹399,3.4 out of 5 stars,476, B08RC39B71 ,Brand The Deal ,[' Made from durable water resistant polyester<br><br> < laptop bag for men backpack/laptop bag 15.6 inch/laptop bag 14 inch waterproof/laptop backpack for women stylish/college bag for women/college bag for men/college bag with laptop compartment for men/backpack for women travelling bag/travel backpack for men/students bagpack/waterproof backpack for school/school backpack with laptop compartment  ']
37,HEROZ Harbour Unisex Nylon 28 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 15.6 Inch Laptop Notebook (153-ALL) (Air Force Blue)  ,https://amazon.in/HEROZ-Backpack-Resistant-Notebook-Airforce/dp/B07MCRHSVP/ref=sr_1_201?crid=2M096C61O4MLT&keywords=bags&qid=1685079956&sprefix=ba%2Caps%2C283&sr=8-201,₹841,4.1 out of 5 stars,"5,918", B07MCRHSVP ,A. H. Creation ,"[' ?LOTS OF STORAGE SPACE&POCKETS? One separate laptop compartment hold 15.6 Inch Laptop as well as 15 Inch,14 Inch and 13 Inch Macbook/Laptop. One spacious packing compartment roomy for daily necessities tech electronics accessories. Front compartment with many pockets, pen pockets and key fob hook, make your items organized and easier to find<br><br> <br>  ', ' ?MULTIPURPOSE BACKPACK Polyester Fabric Material & Practical luggage Strap design & Comfortable Widen Padded Shoulder Strap & Built-in Key Ring design, fits for daily use at school, college, business and travel, suitable for women, men and students.<br><br> <br>  ', ' ?LARGE CAPACITY? External dimensions: 18.5 x 13 x 9 inch. Multiple divider pockets, easy for holding 15.6 Inches laptop, water bottle, readers and a bunch of other items, iPad, journal, pens and pencils, iPhone.<br><br> <br>  ', ' Pocket Description: Utility Pocket; Special Features: Back Padding; Compartment Description: Up To 15 Inches; Style Name: Casual; Age Range Description: Adult; Closure Type: Zipper<br>; <br> <br>  ', ' Pattern Name: Solid <br>  ']"
38,"Amazon Basics - Laptop Backpack/College Bag/Travel Bag for 15.6-inch Laptop, Water-Resistant, Casual  ",https://amazon.in/Amazon-Basics-Professional-Backpack-15-inch-Laptop/dp/B09W4WB3K5/ref=sr_1_202?crid=2M096C61O4MLT&keywords=bags&qid=1685079956&sprefix=ba%2Caps%2C283&sr=8-202,"₹1,669",3.7 out of 5 stars,18, B09W4WB3K5 ,"Flab internatioanl private limited, FLAB INTERNATIONAL PRIVATE LIMITED PLOT NO. 357 E, PACE CITY-2, SEC-37, GURGAON - 122001 (HARYANA) INDIA 91- 9873326777 ","[' Laptop backpack made from water-resistant, strong and durable polyester  ', ' Contains three large compartments, one easy-access front pocket, two side pockets with zipper, and two water-bottle pockets  ', ' Well-cushioned polyester pocket that stores up to 15.6-inch laptop  ', ' Cushioned shoulder strap for added comfort and well-padded back to provide support  ', ' Invisible and theft-resistant zipper pocket on the edge of the back panel protects valuable items such as earbuds, passports, and phone  ', ' ·Lightweight and convenient to carry in three, flexible ways  ', ' Dimensions: 45 x 30 x 17 cm (L x W x H)  ', ' Weight: 0.78 gms  ']"
39,Asus ROG BP1501 39.62 cm (15.6-inch) Gaming Laptop Backpack (Black)  ,https://amazon.in/BP1501-15-6-inch-Gaming-Laptop-Backpack/dp/B081RLHHCY/ref=sr_1_206?crid=2M096C61O4MLT&keywords=bags&qid=1685079956&sprefix=ba%2Caps%2C283&sr=8-206,"₹1,499",4.3 out of 5 stars,925, B081RLHHCY ,"Asus, Shanghai Korrun Bag & Luggage Production Co. , Lt d ","[' Stylish, gaming-inspired design with the cyber-text pattern and ROG Logo. Material : Polyester  ', ' Quick-access exterior pocket for your essential accessories  ', ' Generous 16L interior for easy transport of an up 15.6-inch laptop  ', ' It also features Ghost chain for better security, Large air mesh back & Luggage strap  ']"
40,"Gizga Essentials Travel Toiletry Kit Bag for Men & Women, Travel Organizer Case with Handle & Hook, Premium Zipper, Multiple Pockets, Multi-Utility Pouch for Shaving Makeup Cosmetics, Light Grey  ",https://amazon.in/Gizga-Essentials-Organizer-Multi-Utility-Cosmetics/dp/B09WVRKYCJ/ref=sr_1_221?crid=2M096C61O4MLT&keywords=bags&qid=1685079957&sprefix=ba%2Caps%2C283&sr=8-221,₹413,4.3 out of 5 stars,117, B09WVRKYCJ ,Gizga ,"[' SPACIOUS & LIGHTWEIGHT: Gizga Essentials Travel Toiletry Kit Bag can organize all your Travel Sized Toiletries like Toothbrushes, Toothpaste, Deodorants, Shampoos, Makeup & Cosmetics, Shaving Accessories. (Dim: 16 X 16 X 26CM | Weight: 194gm )  ', ' MULTI-POCKETS & HANGING HOOK: It has one Main Compartment, Three Mesh Pockets, and Two Outside Pockets allowing you to easily store all your Travel-Sized Toiletries. The attached Hook allows you to Hang the Bag on the Back of a Door or Towel Rail.  ', ' MANY APPLICATIONS: Our bag can be used as a Toiletry Bag, Travel Organizer Bag, Makeup & Cosmetic Bag, Healthcare Bag, or Gym Bag and is a perfect choice to take on any Business Trip, Outdoor Activity, or Vacation.  ', ' EASY TO CLEAN: Made of Sturdy, Durable, Water Resistance Fabric Material, No need to worry about getting Ripped and Worn easily. It has a Double Internal Lining which is Water Proof makes cleaning very easy. Premium Zippers & Pullers allow easy access to the inside.  ', ' PERFECT FOR TRAVEL: Durable handle allows to carry in hand conveniently. Easy to slide into your backpack or briefcase or carry it on its own, convenient for travel or business trip. Ideal toiletry Kit for Men & Women to hold your valuable Gadget Accessories.  ']"
41,"Storite PU Leather 14 Inch Laptop Shoulder Messenger Sling Office Business Travel Bag for Men & Women (Brown, 40cm x 29cm x 6cm)  ",https://amazon.in/Storite-Laptop-Briefcase-Messenger-Bag/dp/B08VWF41VX/ref=sr_1_228?crid=2M096C61O4MLT&keywords=bags&qid=1685079957&sprefix=ba%2Caps%2C283&sr=8-228,"₹1,059",3.7 out of 5 stars,411, B08VWF41VX ,"SaiTech IT Private Limited, 01 Year Warranty ","[' Laptop Bag - Material: PU Leather, Color: Brown, Dimensions: 40cm x 29cm x 6cm  ', ' Laptop Briefcase - Compartments: 1 Main zipper compartment with 1 inner zipper pocket & 1 inner Compartment for Laptop and 2 Zipper Pocket on outside for other accessories.  ', ' The shoulder messenger bag features a detachable wide shoulder strap that eliminates shoulder fatigue. The bag can be carried by the handle, worn on shoulders, and positioned across body.  ']"
